release	version	date	kb
1809	10.0.17763.379	3/12/2019	4489899
1809	10.0.17763.348	3/1/2019	4482887
1809	10.0.17763.316	2/12/2019	4487044
1809	10.0.17763.292	1/22/2019	4476976
1809	10.0.17763.253	1/8/2019	4480116
1809	10.0.17763.195	12/19/2018	4483235
1809	10.0.17763.194	12/11/2018	4471332
1809	10.0.17763.168	12/5/2018	4469342
1809	10.0.17763.134	11/13/2018	4467708
1809	10.0.17763.107	11/13/2018	4464455
1809	10.0.17763.55	10/9/2018	4464330
1809	10.0.17763.1	10/2/2018	
1803	10.0.17134.677	3/19/2019	4489894
1803	10.0.17134.648	3/12/2019	4489868
1803	10.0.17134.619	2/19/2019	4487029
1803	10.0.17134.590	2/12/2019	4487017
1803	10.0.17134.556	1/15/2019	4480976
1803	10.0.17134.523	1/8/2019	4480966
1803	10.0.17134.472	12/19/2018	4483234
1803	10.0.17134.471	12/11/2018	4471324
1803	10.0.17134.441	11/27/2018	4467682
1803	10.0.17134.407	11/13/2018	4467702
1803	10.0.17134.376	10/24/2018	4462933
1803	10.0.17134.345	10/9/2018	4462919
1803	10.0.17134.320	9/26/2018	4458469
1803	10.0.17134.286	9/17/2018	4464218
1803	10.0.17134.285	9/11/2018	4457128
1803	10.0.17134.254	8/30/2018	4346783
1803	10.0.17134.228	8/14/2018	4343909
1803	10.0.17134.191	7/24/2018	4340917
1803	10.0.17134.167	7/16/2018	4345421
1803	10.0.17134.165	7/10/2018	4338819
1803	10.0.17134.137	6/26/2018	4284848
1803	10.0.17134.112	6/12/2018	4284835
1803	10.0.17134.83	6/5/2018	4338548
1803	10.0.17134.81	5/23/2018	4100403
1803	10.0.17134.48	5/8/2018	4103721
1709	10.0.16299.1059	3/19/2019	4489890
1709	10.0.16299.1029	3/12/2019	4489886
1709	10.0.16299.1004	2/19/2019	4487021
1709	10.0.16299.967	2/12/2019	4486996
1709	10.0.16299.936	1/15/2019	4480967
1709	10.0.16299.904	1/8/2019	4480978
1709	10.0.16299.847	12/19/2018	4483232
1709	10.0.16299.846	12/11/2018	4471329
1709	10.0.16299.820	11/27/2018	4467681
1709	10.0.16299.785	11/13/2018	4467686
1709	10.0.16299.755	10/18/2018	4462932
1709	10.0.16299.726	10/9/2018	4462918
1709	10.0.16299.699	9/26/2018	4457136
1709	10.0.16299.666	9/17/2018	4464217
1709	10.0.16299.665	9/11/2018	4457142
1709	10.0.16299.637	8/30/2018	4343893
1709	10.0.16299.611	8/14/2018	4343897
1709	10.0.16299.579	7/24/2018	4338817
1709	10.0.16299.551	7/16/2018	4345420
1709	10.0.16299.547	7/10/2018	4338825
1709	10.0.16299.522	6/21/2018	4284822
1709	10.0.16299.492	6/12/2018	4284819
1709	10.0.16299.461	5/21/2018	4103714
1709	10.0.16299.431	5/8/2018	4103727
1709	10.0.16299.402	4/23/2018	4093105
1709	10.0.16299.371	4/10/2018	4093112
1709	10.0.16299.334	3/22/2018	4089848
1709	10.0.16299.309	3/13/2018	4088776
1709	10.0.16299.251	3/5/2018	4090913
1709	10.0.16299.248	2/13/2018	4074588
1709	10.0.16299.214	1/31/2018	4058258
1709	10.0.16299.201	1/18/2018	4073291
1709	10.0.16299.194	1/17/2018	4073290
1709	10.0.16299.192	1/3/2018	4056892
1709	10.0.16299.125	12/12/2017	4054517
1709	10.0.16299.98	11/30/2017	4051963
1709	10.0.16299.64	11/14/2017	4048955
1709	10.0.16299.19	10/17/2017	4043961
1703	10.0.15063.1716	3/19/2019	4489888
1703	10.0.15063.1689	3/12/2019	4489871
1703	10.0.15063.1659	2/19/2019	4487011
1703	10.0.15063.1631	2/12/2019	4487020
1703	10.0.15063.1596	1/15/2019	4480959
1703	10.0.15063.1563	1/8/2019	4480973
1703	10.0.15063.1508	12/19/2018	4483230
